Generated by Byte Software
Provided by byt3c0de.net


Rebirth: 4, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 4
Rebirth: 9, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 6
Rebirth: 14, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 8
Rebirth: 19, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 10
Rebirth: 24, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 12
Rebirth: 29, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 12
Rebirth: 34, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 6
Rebirth: 39, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 15
Rebirth: 49, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 18
Rebirth: 59, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 8
Rebirth: 69, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 18
Rebirth: 74, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 20
Rebirth: 79, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 6
Rebirth: 99, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 25
Rebirth: 104, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 24
Rebirth: 109, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 11
Rebirth: 119, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 124, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 30
Rebirth: 129, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 12
Rebirth: 139, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 30
Rebirth: 149, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 27
Rebirth: 159, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 10
Rebirth: 174, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 36
Rebirth: 179, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 199, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 15
Rebirth: 219, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 33
Rebirth: 224, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 36
Rebirth: 239, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 40
Rebirth: 249, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 35
Rebirth: 254, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 17
Rebirth: 259, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 274, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 40
Rebirth: 279, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 6
Rebirth: 284, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 18
Rebirth: 299, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 48
Rebirth: 319, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 15
Rebirth: 329, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 44
Rebirth: 349, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 42
Rebirth: 374, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 54
Rebirth: 384, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 21
Rebirth: 389, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 48
Rebirth: 399, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 45
Rebirth: 439, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 55
Rebirth: 454, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 52
Rebirth: 459, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 23
Rebirth: 479, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 8
Rebirth: 499, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 24
Rebirth: 509, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 519, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 60
Rebirth: 524, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 56
Rebirth: 549, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 66
Rebirth: 559, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 18
Rebirth: 569, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 584, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 26
Rebirth: 599, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 60
Rebirth: 629, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 27
Rebirth: 649, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 72
Rebirth: 679, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 64
Rebirth: 699, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 70
Rebirth: 724, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 29
Rebirth: 749, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 63
Rebirth: 764, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 68
Rebirth: 769, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 63
Rebirth: 774, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 30
Rebirth: 799, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 75
Rebirth: 839, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 24
Rebirth: 854, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 72
Rebirth: 874, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 84
Rebirth: 879, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 32
Rebirth: 919, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 69
Rebirth: 934, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 33
Rebirth: 949, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 76
Rebirth: 959, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 999, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 90
Rebirth: 1019, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 85
Rebirth: 1039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 12
Rebirth: 1049, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 80
Rebirth: 1099, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 77
Rebirth: 1109, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 36
Rebirth: 1119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 30
Rebirth: 1139, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 90
Rebirth: 1154, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 84
Rebirth: 1169, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 1199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 27
Rebirth: 1234, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 38
Rebirth: 1249, Orb Type: Yellow, City: Legends Highway, Pet Type: Unique, Glitch Speed: 30
Rebirth: 1259, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 81
Rebirth: 1264, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 88
Rebirth: 1274, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 102
Rebirth: 1299, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 84
Rebirth: 1379, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 92
Rebirth: 1399, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 100
Rebirth: 1424, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 108
Rebirth: 1434, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 41
Rebirth: 1439, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 32
Rebirth: 1449, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 87
Rebirth: 1499, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 96
Rebirth: 1504, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 42
Rebirth: 1539, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 105
Rebirth: 1549, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 90
Rebirth: 1599, Orb Type: Yellow, City: Magma City, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 1624, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 100
Rebirth: 1649, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 44
Rebirth: 1724, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 45
Rebirth: 1749, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 120
Rebirth: 1754, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 104
Rebirth: 1759, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 96
Rebirth: 1799, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 36
Rebirth: 1839, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 115
Rebirth: 1869, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 99
Rebirth: 1879, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 47
Rebirth: 1889, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 108
Rebirth: 1919, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 40
Rebirth: 1924, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 126
Rebirth: 1959, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 48
Rebirth: 1999, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 120
Rebirth: 2029, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 112
Rebirth: 2039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 17
Rebirth: 2079, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 2099, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 105
Rebirth: 2174, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 116
Rebirth: 2199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 40
Rebirth: 2219, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 108
Rebirth: 2249, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 36
Rebirth: 2279, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 18
Rebirth: 2299, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 138
Rebirth: 2324, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 120
Rebirth: 2339, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 130
Rebirth: 2399, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 48
Rebirth: 2469, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 114
Rebirth: 2479, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 124
Rebirth: 2499, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 144
Rebirth: 2519, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 135
