Generated by Byte Software
Provided by byt3c0de.net


Rebirth: 4, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 4
Rebirth: 9, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 8
Rebirth: 14, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 12
Rebirth: 19, Orb Type: Ethereal, City: Legends Highway, Pet Type: Epic, Glitch Speed: 15
Rebirth: 24, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 18
Rebirth: 29, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 12
Rebirth: 34, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 18
Rebirth: 39, Orb Type: Ethereal, City: Snow City, Pet Type: Epic, Glitch Speed: 15
Rebirth: 49, Orb Type: Ethereal, City: Legends Highway, Pet Type: Epic, Glitch Speed: 25
Rebirth: 51, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 12
Rebirth: 54, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 11
Rebirth: 55, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 30
Rebirth: 59, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 27
Rebirth: 64, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 12
Rebirth: 69, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 36
Rebirth: 71, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 32
Rebirth: 74, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 27
Rebirth: 79, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 87, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 33
Rebirth: 89, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 36
Rebirth: 95, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 40
Rebirth: 99, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 35
Rebirth: 101, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 17
Rebirth: 103, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 104, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 24
Rebirth: 109, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 40
Rebirth: 113, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 18
Rebirth: 119, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 48
Rebirth: 124, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 35
Rebirth: 129, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 131, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 44
Rebirth: 139, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 42
Rebirth: 149, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 54
Rebirth: 153, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 21
Rebirth: 155, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 48
Rebirth: 159, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 45
Rebirth: 164, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 44
Rebirth: 169, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 17
Rebirth: 174, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 42
Rebirth: 175, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 55
Rebirth: 179, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 181, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 52
Rebirth: 183, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 23
Rebirth: 189, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 18
Rebirth: 194, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 48
Rebirth: 199, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 48
Rebirth: 203, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 207, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 60
Rebirth: 209, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 56
Rebirth: 219, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 66
Rebirth: 224, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 36
Rebirth: 227, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 229, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 23
Rebirth: 233, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 26
Rebirth: 239, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 60
Rebirth: 249, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 54
Rebirth: 251, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 27
Rebirth: 254, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 259, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 72
Rebirth: 271, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 64
Rebirth: 274, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 66
Rebirth: 279, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 70
Rebirth: 284, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 289, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 29
Rebirth: 299, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 63
Rebirth: 305, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 68
Rebirth: 307, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 63
Rebirth: 309, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 30
Rebirth: 314, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 27
Rebirth: 319, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 75
Rebirth: 324, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 72
Rebirth: 329, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 44
Rebirth: 339, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 64
Rebirth: 341, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 72
Rebirth: 349, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 84
Rebirth: 351, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 32
Rebirth: 359, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 367, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 69
Rebirth: 373, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 33
Rebirth: 374, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 63
Rebirth: 379, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 76
Rebirth: 384, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 63
Rebirth: 389, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 48
Rebirth: 399, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 90
Rebirth: 407, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 85
Rebirth: 419, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 80
Rebirth: 439, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 77
Rebirth: 443, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 36
Rebirth: 449, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 36
Rebirth: 454, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 52
Rebirth: 455, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 90
Rebirth: 459, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 69
Rebirth: 461, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 84
Rebirth: 467, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 474, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 76
Rebirth: 479, Orb Type: Ethereal, City: City, Pet Type: Epic, Glitch Speed: 40
Rebirth: 493, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 38
Rebirth: 499, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 90
Rebirth: 503, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 81
Rebirth: 505, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 88
Rebirth: 509, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 102
Rebirth: 519, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 84
Rebirth: 524, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 80
Rebirth: 549, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 77
Rebirth: 551, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 92
Rebirth: 554, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 36
Rebirth: 559, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 100
Rebirth: 569, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 108
Rebirth: 573, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 41
Rebirth: 579, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 87
Rebirth: 584, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 599, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 96
Rebirth: 601, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 42
Rebirth: 615, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 105
Rebirth: 619, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 90
Rebirth: 624, Orb Type: Red, City: Legends Highway, Pet Type: Unique, Glitch Speed: 30
Rebirth: 629, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 81
Rebirth: 649, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 100
Rebirth: 659, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 44
Rebirth: 679, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 85
Rebirth: 689, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 92
