Generated by Byte Software™
Provided by Byte CBT (@byte.cbt)


Rebirth: 4, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 8
Rebirth: 9, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 12
Rebirth: 14, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 12
Rebirth: 19, Orb Type: Ethereal, City: Snow City, Pet Type: Epic, Glitch Speed: 15
Rebirth: 24, Orb Type: Ethereal, City: Legends Highway, Pet Type: Epic, Glitch Speed: 25
Rebirth: 29, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 34, Orb Type: Ethereal, City: Legends Highway, Pet Type: Epic, Glitch Speed: 30
Rebirth: 39, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 24
Rebirth: 44, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 32
Rebirth: 49, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 27
Rebirth: 50, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 17
Rebirth: 51, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 54, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 40
Rebirth: 56, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 18
Rebirth: 59, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 48
Rebirth: 64, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 36
Rebirth: 65, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 44
Rebirth: 69, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 42
Rebirth: 74, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 54
Rebirth: 76, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 21
Rebirth: 77, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 48
Rebirth: 79, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 45
Rebirth: 84, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 17
Rebirth: 87, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 55
Rebirth: 89, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 90, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 52
Rebirth: 91, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 23
Rebirth: 94, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 18
Rebirth: 99, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 48
Rebirth: 101, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 103, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 60
Rebirth: 104, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 56
Rebirth: 109, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 66
Rebirth: 113, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 114, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 23
Rebirth: 116, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 26
Rebirth: 119, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 60
Rebirth: 124, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 54
Rebirth: 125, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 27
Rebirth: 129, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 72
Rebirth: 135, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 64
Rebirth: 139, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 70
Rebirth: 144, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 29
Rebirth: 149, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 63
Rebirth: 152, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 68
